dataset,source,network_group,n_genes,n_positive_edges_after_filter,n_tfs_after_filter,n_hvg,network_path,expression_path,train_n_total,train_n_positive,train_n_negative,train_positive_ratio,train_negative_to_positive_ratio,validation_n_total,validation_n_positive,validation_n_negative,validation_positive_ratio,validation_negative_to_positive_ratio,combined_train_n_total,combined_train_n_positive,combined_train_n_negative,combined_train_positive_ratio,combined_train_negative_to_positive_ratio,test_n_total,test_n_positive,test_n_negative,test_positive_ratio,test_negative_to_positive_ratio,random_auprc_baseline
hHep_STRING_1000,BEELINE,STRING,1000,824,53,1000,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/human/STRING-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/hHep/ExpressionData.csv,35423,532,34891,0.015018490811054963,65.58458646616542,5247,63,5184,0.012006861063464836,82.28571428571429,40670,595,40075,0.014629948364888123,67.3529411764706,12277,229,12048,0.018652765333550543,52.61135371179039,0.018652765333550543
mDC_Specific_500,BEELINE,Specific,500,33,2,500,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/mDC-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mDC/ExpressionData.csv,667,21,646,0.031484257871064465,30.761904761904763,98,2,96,0.02040816326530612,48.0,765,23,742,0.030065359477124184,32.26086956521739,234,10,224,0.042735042735042736,22.4,0.042735042735042736
mDC_Specific_1000,BEELINE,Specific,1000,596,8,1000,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/mDC-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mDC/ExpressionData.csv,5348,397,4951,0.07423335826477188,12.47103274559194,792,56,736,0.0707070707070707,13.142857142857142,6140,453,5687,0.07377850162866449,12.554083885209714,1853,143,1710,0.07717215326497572,11.958041958041958,0.07717215326497572
mDC_Non-Specific_500,BEELINE,Non-Specific,500,33,7,500,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/Non-Specific-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mDC/ExpressionData.csv,2333,19,2314,0.008144020574367767,121.78947368421052,343,1,342,0.0029154518950437317,342.0,2676,20,2656,0.007473841554559043,132.8,819,13,806,0.015873015873015872,62.0,0.015873015873015872
mDC_Non-Specific_1000,BEELINE,Non-Specific,1000,492,39,1000,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/Non-Specific-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mDC/ExpressionData.csv,26074,317,25757,0.012157704993480095,81.25236593059937,3861,34,3827,0.008806008806008805,112.55882352941177,29935,351,29584,0.011725405044262569,84.28490028490029,9037,141,8896,0.015602522961159677,63.09219858156028,0.015602522961159677
mDC_STRING_500,BEELINE,STRING,500,125,11,500,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/STRING-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mDC/ExpressionData.csv,3667,80,3587,0.0218161985274066,44.8375,539,9,530,0.016697588126159554,58.888888888888886,4206,89,4117,0.021160247265810745,46.258426966292134,1283,36,1247,0.028059236165237724,34.638888888888886,0.028059236165237724
mDC_STRING_1000,BEELINE,STRING,1000,817,40,1000,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/STRING-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mDC/ExpressionData.csv,26735,533,26202,0.019936412941836543,49.15947467166979,3960,67,3893,0.01691919191919192,58.1044776119403,30695,600,30095,0.019547157517510995,50.15833333333333,9265,217,9048,0.023421478683216406,41.69585253456221,0.023421478683216406
mHSC-E_Specific_500,BEELINE,Specific,500,1008,5,500,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/mHSC-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mHSC-E/ExpressionData.csv,1669,672,997,0.402636309167166,1.4836309523809523,245,98,147,0.4,1.5,1914,770,1144,0.40229885057471265,1.4857142857142858,584,238,346,0.4075342465753425,1.453781512605042,0.4075342465753425
mHSC-E_Specific_1000,BEELINE,Specific,1000,6427,13,1000,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/mHSC-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mHSC-E/ExpressionData.csv,8695,4299,4396,0.4944220816561242,1.0225633868341475,1288,638,650,0.4953416149068323,1.0188087774294672,9983,4937,5046,0.49454071922267856,1.0220781851326717,3013,1490,1523,0.4945237305011616,1.0221476510067113,0.4945237305011616
mHSC-E_Non-Specific_500,BEELINE,Non-Specific,500,248,21,500,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/Non-Specific-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mHSC-E/ExpressionData.csv,7003,159,6844,0.022704555190632587,43.0440251572327,1029,18,1011,0.01749271137026239,56.166666666666664,8032,177,7855,0.022036852589641436,44.378531073446325,2452,71,2381,0.02895595432300163,33.53521126760563,0.02895595432300163
mHSC-E_Non-Specific_1000,BEELINE,Non-Specific,1000,691,48,1000,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/Non-Specific-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mHSC-E/ExpressionData.csv,32091,449,31642,0.013991461780561529,70.47216035634744,4753,53,4700,0.011150852093414685,88.67924528301887,36844,502,36342,0.013625013570730649,72.39442231075697,11119,189,10930,0.016997931468657253,57.83068783068783,0.016997931468657253
mHSC-E_STRING_500,BEELINE,STRING,500,228,25,500,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/STRING-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mHSC-E/ExpressionData.csv,8335,145,8190,0.01739652069586083,56.48275862068966,1225,14,1211,0.011428571428571429,86.5,9560,159,9401,0.016631799163179917,59.125786163522015,2915,69,2846,0.023670668953687822,41.2463768115942,0.023670668953687822
mHSC-E_STRING_1000,BEELINE,STRING,1000,702,53,1000,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/STRING-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mHSC-E/ExpressionData.csv,35423,451,34972,0.01273184089433419,77.54323725055433,5247,49,5198,0.009338669716028206,106.08163265306122,40670,500,40170,0.012294074256208508,80.34,12277,202,12075,0.01645353099291358,59.777227722772274,0.01645353099291358
mHSC-GM_Specific_500,BEELINE,Specific,500,1941,7,500,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/mHSC-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mHSC-GM/ExpressionData.csv,2337,1298,1039,0.5554129225502782,0.800462249614792,343,190,153,0.5539358600583091,0.8052631578947368,2680,1488,1192,0.5552238805970149,0.8010752688172043,818,453,365,0.5537897310513448,0.8057395143487859,0.5537897310513448
mHSC-GM_Specific_1000,BEELINE,Specific,1000,7310,15,1000,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/mHSC-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mHSC-GM/ExpressionData.csv,10032,4890,5142,0.4874401913875598,1.0515337423312883,1487,725,762,0.48755884330867516,1.0510344827586207,11519,5615,5904,0.4874555082906502,1.0514692787177204,3475,1695,1780,0.48776978417266187,1.0501474926253687,0.48776978417266187
mHSC-GM_Non-Specific_500,BEELINE,Non-Specific,500,143,15,500,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/Non-Specific-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mHSC-GM/ExpressionData.csv,5005,91,4914,0.01818181818181818,54.0,735,8,727,0.010884353741496598,90.875,5740,99,5641,0.01724738675958188,56.97979797979798,1751,44,1707,0.025128498001142203,38.79545454545455,0.025128498001142203
mHSC-GM_Non-Specific_1000,BEELINE,Non-Specific,1000,493,48,1000,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/Non-Specific-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mHSC-GM/ExpressionData.csv,32084,316,31768,0.009849145991771599,100.53164556962025,4752,35,4717,0.007365319865319866,134.77142857142857,36836,351,36485,0.009528721902486699,103.94586894586895,11127,142,10985,0.012761750696503999,77.35915492957747,0.012761750696503999
mHSC-GM_STRING_500,BEELINE,STRING,500,101,22,500,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/STRING-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mHSC-GM/ExpressionData.csv,7330,59,7271,0.008049113233287858,123.23728813559322,1078,3,1075,0.0027829313543599257,358.3333333333333,8408,62,8346,0.007373929590865842,134.61290322580646,2570,39,2531,0.015175097276264591,64.8974358974359,0.015175097276264591
mHSC-GM_STRING_1000,BEELINE,STRING,1000,455,57,1000,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/STRING-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mHSC-GM/ExpressionData.csv,38095,286,37809,0.007507546922168264,132.1993006993007,5643,28,5615,0.004961899698741804,200.53571428571428,43738,314,43424,0.0071791119850016,138.29299363057325,13205,141,13064,0.01067777357061719,92.65248226950355,0.01067777357061719
mHSC-L_Specific_500,BEELINE,Specific,500,2373,8,500,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/mHSC-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mHSC-L/ExpressionData.csv,2671,1586,1085,0.5937850992137776,0.6841109709962169,394,234,160,0.5939086294416244,0.6837606837606838,3065,1820,1245,0.5938009787928222,0.6840659340659341,934,553,381,0.5920770877944326,0.6889692585895117,0.5920770877944326
mHSC-L_Specific_1000,BEELINE,Specific,1000,9051,16,1000,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/mHSC-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mHSC-L/ExpressionData.csv,10701,6055,4646,0.5658349686945146,0.7672997522708506,1586,898,688,0.5662042875157629,0.7661469933184856,12287,6953,5334,0.5658826401888174,0.7671508701280023,3708,2098,1610,0.5658036677454154,0.7673975214489991,0.5658036677454154
mHSC-L_Non-Specific_500,BEELINE,Non-Specific,500,177,16,500,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/Non-Specific-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mHSC-L/ExpressionData.csv,5338,113,5225,0.021168977144998127,46.23893805309734,785,13,772,0.016560509554140127,59.38461538461539,6123,126,5997,0.020578147966683,47.595238095238095,1867,51,1816,0.027316550615961437,35.6078431372549,0.027316550615961437
mHSC-L_Non-Specific_1000,BEELINE,Non-Specific,1000,570,50,1000,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/Non-Specific-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mHSC-L/ExpressionData.csv,33430,367,33063,0.010978163326353575,90.08991825613079,4951,42,4909,0.008483134720258533,116.88095238095238,38381,409,37972,0.010656314322190667,92.84107579462103,11582,161,11421,0.01390088067691245,70.93788819875776,0.01390088067691245
mHSC-L_STRING_500,BEELINE,STRING,500,116,21,500,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/STRING-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mHSC-L/ExpressionData.csv,7003,72,6931,0.010281308010852492,96.26388888888889,1029,5,1024,0.004859086491739553,204.8,8032,77,7955,0.009586653386454183,103.31168831168831,2447,39,2408,0.015937883122190438,61.743589743589745,0.015937883122190438
mHSC-L_STRING_1000,BEELINE,STRING,1000,512,66,1000,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/mouse/STRING-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/mHSC-L/ExpressionData.csv,44110,322,43788,0.00729993198821129,135.98757763975155,6534,26,6508,0.003979185797367615,250.30769230769232,50644,348,50296,0.0068714951425637785,144.5287356321839,15290,164,15126,0.010725964682799216,92.23170731707317,0.010725964682799216
